#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DRUG;EXPERIMENT;TUMOR SIZE;BW
98;4;168.75;2;1;.;.;.;1;6.25;1;2;374.6655;27
98;7;.;.;.;.;.;.;1;6.25;1;2;493.056;26.8
98;7;168.75;1;1;.;.;.;1;6.25;1;2;493.056;26.8
98;9;.;.;.;.;.;.;1;6.25;1;2;587.826;27.2
98;9;168.75;1;1;.;.;.;1;6.25;1;2;587.826;27.2
98;10.20833333;.;.;.;175;1;.;1;6.25;1;2;587.826;25.9
98;11;.;.;.;.;.;.;1;6.25;1;2;696.1365;25.9
98;11;162.5;2;1;.;.;.;1;6.25;1;2;696.1365;25.9
98;14;.;.;.;.;.;.;1;6.25;1;2;780.275;27
98;14;168.75;1;1;.;.;.;1;6.25;1;2;780.275;27
98;16;.;.;.;.;.;.;1;6.25;1;2;886.075;27.5
98;16;175;.;.;.;.;.;1;6.25;1;2;886.075;27.5
98;16.41805556;.;.;.;32.8;1;.;1;6.25;1;2;886.075;27.5
98;18;.;.;.;.;.;.;1;6.25;1;2;932.908;25.7
98;21;.;.;.;.;.;.;1;6.25;1;2;1071.648;25.6
98;23;.;.;.;.;.;.;1;6.25;1;2;1127.1105;26
98;25;.;.;.;.;.;.;1;6.25;1;2;1448.8875;26
98;28;.;.;.;.;.;.;1;6.25;1;2;1467.1125;27.6
98;30;.;.;.;.;.;.;1;6.25;1;2;1618.4;27.6
119;0;.;.;.;.;.;.;1;6.25;1;2;112.0905;22.2
119;2;.;.;.;.;.;.;1;6.25;1;2;149.916;22.3
119;3;137.5;.;.;.;.;.;1;6.25;1;2;149.916;22.3
119;4;.;.;.;.;.;.;1;6.25;1;2;169.984;22.1
119;4;137.5;2;1;.;.;.;1;6.25;1;2;169.984;22.1
119;7;.;.;.;.;.;.;1;6.25;1;2;210.392;21.8
119;7;137.5;1;1;.;.;.;1;6.25;1;2;210.392;21.8
119;9;.;.;.;.;.;.;1;6.25;1;2;235.2;22.8
119;9;143.75;1;1;.;.;.;1;6.25;1;2;235.2;22.8
119;10.04305556;.;.;.;1050;1;.;1;6.25;1;2;235.2;21.1
119;11;.;.;.;.;.;.;1;6.25;1;2;394.944;21.1
119;11;131.25;2;1;.;.;.;1;6.25;1;2;394.944;21.1
119;14;.;.;.;.;.;.;1;6.25;1;2;419.813;21.6
119;14;137.5;1;1;.;.;.;1;6.25;1;2;419.813;21.6
119;16;.;.;.;.;.;.;1;6.25;1;2;423.7735;22.1
